NorthStar,Business Unit,Service Line,Business Process 1,Business Process 2,Business Process 3,Business KPI 1,Business KPI 2,Business KPI 3,ITKPI 1,ITKPI 2,ITKPI 3
Improves Field Force Utilization,,,,,,,,,,,
Improves Field Force Utilization,,,Core Operations,,,,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,,,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Maintenance Labor Cost as a % of TMC,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Average Processing Time,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),,,
Improves Field Force Utilization,,,Core Operations,Work Management,Perform Fix It Now (FIN)/Break-In Work,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,On-Time Completion %,,
